Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
OH-041,Delaware County,43,104,5.1,37.9
OH-043,Erie County,32.66,39,-1.82,34.48
OH-045,Fairfield County,46.18,111,6.49,39.69
OH-047,Fayette County,47.01,113,7.64,39.37
OH-049,Franklin County,44.67,112,6.42,38.25
OH-051,Fulton County,33.05,49,-0.32,33.37
OH-053,Gallia County,43.68,83,2.53,41.15
OH-055,Geauga County,44.1,102,5.53,38.57
OH-057,Greene County,43.08,86,3.48,39.6
OH-059,Guernsey County,45.95,114,6.65,39.3
OH-061,Hamilton County,45.4,93,4.57,40.83
OH-063,Hancock County,32.81,42,-2.05,34.86
OH-065,Hardin County,34.38,49,-1.07,35.45
OH-067,Harrison County,47.79,119,8.36,39.43
OH-069,Henry County,34.25,63,0.47,33.78
OH-071,Highland County,48.65,100,6.21,42.44
OH-073,Hocking County,45.69,104,5.44,40.25
OH-075,Holmes County,45.12,118,6.97,38.15
OH-077,Huron County,36.99,57,0.96,36.03
OH-079,Jackson County,44.26,88,3.12,41.14
OH-081,Jefferson County,48.84,122,10.04,38.8
OH-083,Knox County,45.85,115,6.49,39.36
OH-085,Lake County,44.07,110,6.63,37.44
OH-087,Lawrence County,43.03,70,1.11,41.92
OH-089,Licking County,48.04,123,8.39,39.65
OH-091,Logan County,41.1,92,4.59,36.51
OH-093,Lorain County,36.66,73,1.96,34.7
OH-095,Lucas County,30.92,45,-1.41,32.33
OH-097,Madison County,42.94,106,5.1,37.84
OH-099,Mahoning County,39.29,76,2.15,37.14
OH-101,Marion County,36.14,56,-0.33,36.47
OH-103,Medina County,37.36,70,1.29,36.07
OH-105,Meigs County,45.56,101,5.02,40.54
OH-107,Mercer County,34.82,43,-1.68,36.5
OH-109,Miami County,40.36,80,2.71,37.65
OH-111,Monroe County,50.75,117,8.49,42.26
OH-113,Montgomery County,41.02,74,2.14,38.88
OH-115,Morgan County,45.41,102,5.78,39.63
OH-117,Morrow County,42.18,87,3.06,39.12
OH-119,Muskingum County,46.34,117,7.33,39.01
OH-121,Noble County,45.85,104,5.37,40.48
OH-123,Ottawa County,29.44,29,-3.38,32.82
OH-125,Paulding County,36.4,79,2.14,34.26
OH-127,Perry County,46.8,113,7.44,39.36
OH-129,Pickaway County,44.53,103,5.35,39.18
OH-131,Pike County,45.57,94,4.72,40.85
OH-133,Portage County,37.78,61,0.76,37.02
OH-135,Preble County,41.12,69,1.61,39.51
OH-137,Putnam County,34.99,67,0.69,34.3
OH-139,Richland County,42.84,105,4.74,38.1
OH-141,Ross County,45.81,107,5.67,40.14
OH-143,Sandusky County,32.13,39,-1.59,33.72
OH-145,Scioto County,44.28,85,2.58,41.7
OH-147,Seneca County,34.66,53,-0.77,35.43
OH-149,Shelby County,40.25,84,3.26,36.99
OH-151,Stark County,39.14,75,1.84,37.3
OH-153,Summit County,35.15,45,-0.97,36.12
OH-155,Trumbull County,40.74,86,3.04,37.7
OH-157,Tuscarawas County,45.03,112,6.56,38.47
OH-159,Union County,41.8,105,5.49,36.31
OH-161,Van Wert County,37.67,82,2.53,35.14
OH-163,Vinton County,44.71,95,4.08,40.63
OH-165,Warren County,44.51,82,3.03,41.48
OH-167,Washington County,45.22,98,4.48,40.74
OH-169,Wayne County,40.48,96,3.99,36.49
OH-171,Williams County,35.67,73,1.7,33.97
OH-173,Wood County,32.83,54,-0.53,33.36
OH-175,Wyandot County,34.31,47,-1.26,35.57
OK-001,Adair County,50.15,88,5.05,45.1
OK-003,Alfalfa County,23.24,35,-4.19,27.43
OK-005,Atoka County,39,47,-4.34,43.34
OK-007,Beaver County,13.56,11,-6.9,20.46
OK-009,Beckham County,20.42,35,-4.12,24.54
OK-011,Blaine County,23.19,23,-5.25,28.44
OK-013,Bryan County,38.16,58,-2.64,40.8
OK-015,Caddo County,27.66,48,-2.64,30.3
OK-017,Canadian County,29.37,57,-1.33,30.7
OK-019,Carter County,28.62,20,-7.99,36.61
OK-021,Cherokee County,50.81,97,7.26,43.55
OK-023,Choctaw County,42.17,52,-3.1,45.27
OK-025,Cimarron County,10.24,7,-6.29,16.53
OK-027,Cleveland County,30.68,39,-4.07,34.75
OK-029,Coal County,35.59,35,-5.83,41.42
OK-031,Comanche County,29,55,-0.97,29.97
OK-033,Cotton County,27.42,43,-2.63,30.05
OK-035,Craig County,35.54,26,-6.54,42.08
OK-037,Creek County,33.95,38,-3.54,37.49
OK-039,Custer County,20.99,20,-5.61,26.6
OK-041,Delaware County,45.69,73,2.1,43.59
OK-043,Dewey County,20.01,14,-6.33,26.34
OK-045,Ellis County,18.15,18,-5.23,23.38
OK-047,Garfield County,26.66,37,-3.81,30.47
OK-049,Garvin County,29.14,29,-6.73,35.87
OK-051,Grady County,30.7,49,-1.73,32.43
OK-053,Grant County,25.76,42,-3.9,29.66
OK-055,Greer County,20,30,-5.29,25.29
OK-057,Harmon County,18.42,20,-5.8,24.22
OK-059,Harper County,15.29,8,-7.87,23.16
OK-061,Haskell County,48.12,89,3.87,44.25
OK-063,Hughes County,35.49,36,-5.59,41.08
OK-065,Jackson County,21.14,35,-4.32,25.46
OK-067,Jefferson County,29.02,35,-3.64,32.66
OK-069,Johnston County,32.76,29,-6.84,39.6
OK-071,Kay County,27.5,27,-5.67,33.17
OK-073,Kingfisher County,25.83,30,-3.32,29.15
OK-075,Kiowa County,24.46,45,-2.98,27.44
OK-077,Latimer County,44.02,50,-2.62,46.64
OK-079,Le Flore County,49.89,76,2.54,47.35
OK-081,Lincoln County,31.61,37,-4.16,35.77
OK-083,Logan County,29.18,42,-2.39,31.57
OK-085,Love County,30.14,32,-5.82,35.96
OK-087,McClain County,30.33,37,-4.17,34.5
OK-089,McCurtain County,48.81,59,-0.66,49.47
OK-091,McIntosh County,43.82,75,2.03,41.79
OK-093,Major County,22.55,27,-4.96,27.51
OK-095,Marshall County,32.57,34,-6,38.57
OK-097,Mayes County,42.03,66,0.09,41.94
OK-099,Murray County,29.38,24,-8.81,38.19
OK-101,Muskogee County,48.21,93,5.94,42.27
OK-103,Noble County,29.19,39,-3.91,33.1
OK-105,Nowata County,31.59,20,-7.84,39.43
OK-107,Okfuskee County,34,37,-4.52,38.52
OK-109,Oklahoma County,30.85,48,-2.06,32.91
OK-111,Okmulgee County,38.87,59,-0.81,39.68
OK-113,Osage County,29.33,25,-6.64,35.97
OK-115,Ottawa County,41.56,58,-0.84,42.4
OK-117,Pawnee County,28.73,28,-6.45,35.18
OK-119,Payne County,30.77,38,-3.61,34.38
OK-121,Pittsburg County,39.54,45,-4.96,44.5
OK-123,Pontotoc County,32.08,25,-7.36,39.44
OK-125,Pottawatomie County,32.09,40,-4.35,36.44
OK-127,Pushmataha County,42.82,38,-5.68,48.5
OK-129,Roger Mills County,18.66,17,-5.89,24.55
OK-131,Rogers County,36.55,51,-2.94,39.49
OK-133,Seminole County,32.98,36,-5.18,38.16
OK-135,Sequoyah County,51.87,95,7.01,44.86
OK-137,Stephens County,31.51,53,-1.55,33.06
OK-139,Texas County,10.66,3,-7.48,18.14
OK-141,Tillman County,24.43,45,-2.65,27.08
OK-143,Tulsa County,35.33,47,-3.08,38.41
OK-145,Wagoner County,43.89,82,2.96,40.93
OK-147,Washington County,31.34,23,-6.41,37.75
OK-149,Washita County,23.97,43,-2.99,26.96
OK-151,Woods County,18.37,11,-7.33,25.7
OK-153,Woodward County,18.7,16,-6.21,24.91
OR-001,Baker County,18.83,37,-2.3,21.13
OR-003,Benton County,53.48,44,-4.68,58.16
OR-005,Clackamas County,71.15,51,-3.18,74.33
OR-007,Clatsop County,78.46,29,-10.71,89.17
OR-009,Columbia County,50.22,36,-6.22,56.44
OR-011,Coos County,56.16,23,-12.65,68.81
OR-013,Crook County,12.55,38,-2.11,14.66
OR-015,Curry County,70.46,31,-15.62,86.08
OR-017,Deschutes County,19.96,31,-3.66,23.62
OR-019,Douglas County,46.13,37,-7.09,53.22
OR-021,Gilliam County,12.72,96,1.51,11.21
OR-023,Grant County,19.48,53,-1.28,20.76
OR-025,Harney County,10.59,29,-2.24,12.83
OR-027,Hood River County,56.31,51,-2.14,58.45
OR-029,Jackson County,30.76,30,-6.05,36.81
OR-031,Jefferson County,16.57,43,-1.77,18.34
OR-033,Josephine County,46.73,41,-7.6,54.33
OR-035,Klamath County,22.8,32,-4.24,27.04
OR-037,Lake County,11.63,30,-2.75,14.38
OR-039,Lane County,57.2,38,-6.75,63.95
OR-041,Lincoln County,85.93,52,-3.99,89.92
OR-043,Linn County,62.15,38,-7.4,69.55
OR-045,Malheur County,12.07,64,-0.48,12.55
OR-047,Marion County,59.2,47,-4.36,63.56
OR-049,Morrow County,16.7,110,2.6,14.1
OR-051,Multnomah County,61.53,58,-0.93,62.46
OR-053,Polk County,62.05,49,-4.65,66.7
OR-055,Sherman County,15.14,101,2.01,13.13
OR-057,Tillamook County,94.39,42,-6.79,101.18
OR-059,Umatilla County,23.8,108,3.43,20.37
OR-061,Union County,28.12,60,-0.63,28.75
OR-063,Wallowa County,26.21,61,-1.23,27.44
OR-065,Wasco County,19.51,56,-0.66,20.17
OR-067,Washington County,52.08,45,-3.7,55.78
OR-069,Wheeler County,15.64,63,-0.38,16.02
OR-071,Yamhill County,56.35,45,-4.57,60.92
PA-001,Adams County,41.99,59,-0.24,42.23
PA-003,Allegheny County,43.82,105,5.49,38.33
PA-005,Armstrong County,50.86,120,8.67,42.19
PA-007,Beaver County,44.56,115,6.55,38.01
PA-009,Bedford County,42.53,105,4.43,38.1
PA-011,Berks County,45.74,76,1.53,44.21
PA-013,Blair County,45.22,109,5.64,39.58
PA-015,Bradford County,40.02,90,3.2,36.82
PA-017,Bucks County,46.38,69,0.92,45.46
PA-019,Butler County,44.55,95,3.85,40.7
PA-021,Cambria County,48.22,102,4.77,43.45
PA-023,Cameron County,44.02,90,2.79,41.23
PA-025,Carbon County,52.45,94,3.95,48.5
PA-027,Centre County,44.44,95,3.57,40.87
PA-029,Chester County,48.15,86,3.26,44.89
PA-031,Clarion County,48.21,103,5.11,43.1
PA-033,Clearfield County,45.87,99,3.76,42.11
PA-035,Clinton County,44.55,97,4.05,40.5
PA-037,Columbia County,46.56,98,4.16,42.4
PA-039,Crawford County,46.95,96,4.24,42.71
PA-041,Cumberland County,42.46,68,1.02,41.44
PA-043,Dauphin County,45.31,86,2.28,43.03
PA-045,Delaware County,42.89,49,-1.37,44.26
PA-047,Elk County,47.9,102,4.92,42.98
