Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
TN-065,Hamilton County,60.4,110,1.7,58.7
TN-067,Hancock County,57,105,1.3,55.7
TN-069,Hardeman County,61.2,115,1.7,59.5
TN-071,Hardin County,60.8,108,1.3,59.5
TN-073,Hawkins County,57.9,109,1.4,56.5
TN-075,Haywood County,61.2,114,1.8,59.4
TN-077,Henderson County,60.5,116,1.7,58.8
TN-079,Henry County,59.7,112,1.5,58.2
TN-081,Hickman County,59.8,117,2,57.8
TN-083,Houston County,60,123,2.2,57.8
TN-085,Humphreys County,60.2,124,2.3,57.9
TN-087,Jackson County,59.3,116,1.7,57.6
TN-089,Jefferson County,59.5,116,2,57.5
TN-091,Johnson County,52.9,111,1.6,51.3
TN-093,Knox County,59.6,116,1.7,57.9
TN-095,Lake County,60.2,111,1.4,58.8
TN-097,Lauderdale County,61.1,108,1.4,59.7
TN-099,Lawrence County,59.1,95,1.1,58
TN-101,Lewis County,59.2,113,1.5,57.7
TN-103,Lincoln County,60.1,103,1.3,58.8
TN-105,Loudon County,60,115,1.6,58.4
TN-107,McMinn County,60.3,118,1.8,58.5
TN-109,McNairy County,60.7,105,1.2,59.5
TN-111,Macon County,58.8,113,1.6,57.2
TN-113,Madison County,60.8,115,1.8,59
TN-115,Marion County,59.2,108,1.5,57.7
TN-117,Marshall County,59.9,116,1.6,58.3
TN-119,Maury County,59.7,116,1.6,58.1
TN-121,Meigs County,60.1,117,1.8,58.3
TN-123,Monroe County,59,112,1.5,57.5
TN-125,Montgomery County,59.9,120,2.2,57.7
TN-127,Moore County,60.2,121,1.8,58.4
TN-129,Morgan County,56.8,111,1.5,55.3
TN-131,Obion County,59.6,107,1.2,58.4
TN-133,Overton County,58,117,1.9,56.1
TN-135,Perry County,60.3,116,1.8,58.5
TN-137,Pickett County,57.6,114,1.8,55.8
TN-139,Polk County,59.4,106,1.4,58
TN-141,Putnam County,58.3,116,1.8,56.5
TN-143,Rhea County,59,115,1.7,57.3
TN-145,Roane County,59.6,116,1.8,57.8
TN-147,Robertson County,59.4,116,1.9,57.5
TN-149,Rutherford County,60.3,119,1.9,58.4
TN-151,Scott County,55.8,105,1.2,54.6
TN-153,Sequatchie County,58.1,113,1.6,56.5
